"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HK3",4.3905875821881e-213,7.18495521051557,0.405,0.004,9.97058534039095e-209
"AQP9",5.45978277696917e-135,6.41147042635158,0.266,0.004,1.23986207082193e-130
"APOBEC3A",5.39540348992473e-157,6.17518689400285,0.332,0.007,1.22524217852701e-152
"LILRA3",4.48707562000746e-124,5.77161092868618,0.28,0.008,1.01897000254749e-119
"RP11-290F20.3",2.63165688010232e-240,5.62699215155593,0.526,0.016,5.97622960902435e-236
"CD300E",3.84392719685405e-193,5.33206264050104,0.451,0.017,8.72917427133587e-189
"S100A9",2.24160020694827e-162,5.29592177801776,0.352,0.009,5.09044990995882e-158
"ZNF703",6.00656318532504e-147,5.23324576327566,0.332,0.01,1.36403043375546e-142
"CFD",1.64961577462474e-207,5.10587301999672,0.51,0.023,3.74611246259533e-203
"LILRA1",4.32226859867666e-128,5.10425163992159,0.316,0.013,9.81543976073483e-124
"S100A8",1.07836958974431e-120,5.09879857511731,0.289,0.011,2.44886950135036e-116
"LILRB2",8.79436849597419e-322,5.01729583835629,0.796,0.046,1.99711314175078e-317
"MS4A4A",2.39361839208972e-215,4.98617794305629,0.546,0.028,5.43566800659655e-211
"FCN1",3.19812904671394e-226,4.96598485065494,0.579,0.031,7.26263125218268e-222
"SLC11A1",1.27678454324134e-213,4.95826348467172,0.52,0.022,2.89945001924677e-209
"LILRB3",1.40380409509032e-114,4.87582446704887,0.289,0.013,3.18789871954061e-110
"CD36",5.87564819623637e-105,4.83705726811893,0.28,0.014,1.33430094888332e-100
"SASH1",1.62892419265847e-120,4.76375040391216,0.293,0.011,3.69912394910812e-116
"C1QC",7.65890235882868e-183,4.7161118008601,0.507,0.032,1.73926013666641e-178
"PTGIR",1.14438636300506e-101,4.67316060312195,0.26,0.011,2.59878699174819e-97
"SIGLEC1",5.24428682804704e-175,4.67015866592551,0.461,0.024,1.1909250957812e-170
"C2",6.14918157373215e-107,4.65123006520106,0.289,0.015,1.39641764357883e-102
"C5AR1",2.96439387504748e-323,4.63655551847111,0.849,0.06,6.73184205084532e-319
"LRRC25",9.72813550461351e-282,4.62097674754574,0.763,0.055,2.20916229174268e-277
"MAFB",0,4.61594303873822,0.961,0.066,0
"TLR4",2.49703736126488e-162,4.58989009017234,0.447,0.027,5.67052214369641e-158
"SECTM1",2.97193082679299e-238,4.56325622450264,0.641,0.04,6.74895771456421e-234
"CD14",6.94344229715697e-241,4.5477806619575,0.664,0.046,1.57678631126138e-236
"C19orf38",2.60080526272382e-95,4.52872470054619,0.299,0.023,5.90616867111952e-91
"PILRA",3.50804686830702e-226,4.49462560568758,0.628,0.043,7.9664236332384e-222
"DMXL2",6.49946903250238e-250,4.45954082515477,0.684,0.045,1.47596442259096e-245
"PLAUR",3.1543121320762e-201,4.41612427306967,0.576,0.041,7.16312742073185e-197
"CSTA",2.23114275662417e-125,4.3480308782772,0.368,0.024,5.06670208601782e-121
"CD68",2.39209675182438e-296,4.31445190280552,0.839,0.07,5.43221251371798e-292
"LRP1",4.37177387887679e-164,4.29720099905431,0.48,0.034,9.92786130154129e-160
"NFAM1",8.94734545252258e-106,4.27514651180408,0.322,0.023,2.03185267881335e-101
"EMR2",1.8346686974382e-231,4.26854338675227,0.658,0.047,4.16634914501241e-227
"STAB1",5.46214410470403e-82,4.21931424291263,0.27,0.022,1.24039830473724e-77
"ADAP2",2.03734410347248e-234,4.13293440370771,0.73,0.07,4.62660472457565e-230
"OSCAR",2.2199673824614e-75,4.09497697124706,0.25,0.021,5.04132392883158e-71
"FPR1",2.71691924936366e-116,4.07331977570109,0.365,0.028,6.16985192337993e-112
"MS4A7",1.11670672735458e-313,4.05947459569009,0.97,0.12,2.53592930714952e-309
"TCF7L2",6.77742979875002e-198,4.03056162822189,0.664,0.071,1.53908653299814e-193
"SERPING1",3.45004468806677e-89,4.01417740308754,0.296,0.024,7.83470648213082e-85
"CFP",6.01351466602538e-138,3.97736411273423,0.454,0.039,1.3656090455077e-133
"SPI1",1.18674655791607e-190,3.97107452882665,0.632,0.062,2.69498275837161e-186
"NCF2",6.68898903587258e-187,3.96733005331434,0.605,0.056,1.5190025201563e-182
"AIF1",1.81410450204195e-301,3.92297738892777,0.951,0.115,4.11964991368707e-297
"C1QA",1.77345547498624e-175,3.88454249894192,0.658,0.088,4.02734003814625e-171
"TNFAIP2",1.93491608528648e-184,3.87178573623681,0.609,0.057,4.39400093807706e-180
"PAPSS2",5.99370533831094e-78,3.85784441777853,0.266,0.023,1.36111054527703e-73
"C1QB",5.07218870077794e-166,3.84474509827035,0.635,0.086,1.15184333205966e-161
"MYOF",7.00823470535228e-100,3.80554059674428,0.349,0.032,1.59150001923845e-95
"PPM1N",3.12829139545608e-74,3.80284196657011,0.27,0.026,7.1040369299412e-70
"CSF1R",1.48767328789975e-254,3.79364976703217,0.78,0.067,3.37835726949154e-250
"MSR1",2.42773276836829e-143,3.77860513808749,0.503,0.051,5.51313834368756e-139
"FMNL2",1.2532297551109e-129,3.77619360609677,0.454,0.044,2.84595945088134e-125
"KCNE3",1.57517453845187e-79,3.77364523060416,0.286,0.027,3.57706385937036e-75
"CDKN1C",3.43105093921552e-91,3.76784840539587,0.411,0.062,7.79157357786453e-87
"FPR3",1.23760141881333e-86,3.68591501201501,0.329,0.035,2.81046906198319e-82
"IGSF6",1.48301280782106e-162,3.67885575356821,0.572,0.058,3.36777378528086e-158
"CLEC7A",5.84658410015491e-197,3.63044830178698,0.674,0.069,1.32770078330418e-192
"LST1",1.0910830777632e-230,3.60788294809065,0.875,0.139,2.47774056129245e-226
"RIN2",7.46646649015534e-121,3.59355793983242,0.428,0.041,1.69555987524938e-116
"CLEC12A",2.43602962950981e-95,3.57591071407585,0.378,0.044,5.53197968565382e-91
"HCK",8.97461835323427e-237,3.57411633133421,0.839,0.106,2.03804608183597e-232
"SIRPA",2.34974176892362e-92,3.56434273180504,0.368,0.043,5.33602858304866e-88
"SERPINA1",1.47642047922368e-219,3.55502861862242,0.826,0.121,3.35280326626906e-215
"SLC31A2",5.31593191169017e-163,3.54567430698343,0.605,0.07,1.20719497782572e-158
"CTSL",1.0416274922799e-129,3.54053584386655,0.497,0.057,2.36543187221842e-125
"EMILIN2",2.7734621357486e-117,3.5031772430206,0.461,0.054,6.29825516407149e-113
"SLC8A1",4.02411181631051e-135,3.46062989425377,0.52,0.06,9.13835552365953e-131
"RNF144B",8.97806463069347e-102,3.45324864398565,0.434,0.058,2.03882869698418e-97
"TAGLN",6.06012442396708e-67,3.45073821007169,0.27,0.03,1.37619365543868e-62
"KLF4",1.54781968754966e-143,3.42311270630652,0.556,0.066,3.51494372845652e-139
"TLR2",4.80782556141926e-150,3.40790056095731,0.562,0.062,1.0918091067427e-145
"SIRPB1",3.32385481835013e-59,3.38211824241896,0.25,0.03,7.54814190699131e-55
"CAMK1",7.37576321225188e-93,3.38190238309224,0.418,0.06,1.67496206787028e-88
"MCTP1",7.62506415547869e-88,3.37335661330167,0.355,0.041,1.73157581906765e-83
"CEBPA",5.94537120101895e-99,3.34860495582072,0.421,0.054,1.35013434603939e-94
"BEST1",1.8827141350422e-97,3.34502086913564,0.411,0.052,4.27545552926734e-93
"IRAK3",1.52189433544113e-120,3.33845022464947,0.487,0.059,3.45606984635325e-116
"HMOX1",2.91941933920991e-167,3.33819923530337,0.678,0.094,6.62970937741179e-163
"RRAS",2.84148542418604e-128,3.33256901619897,0.53,0.069,6.45272924978408e-124
"ITSN1",2.60964498944741e-88,3.31983694665223,0.385,0.051,5.92624280653611e-84
"CD163",6.40489922897204e-102,3.31732404980245,0.451,0.064,1.45448856590726e-97
"VSIG4",2.00580632738415e-64,3.31243023773287,0.273,0.033,4.55498558885666e-60
"ZNF385A",4.00821219836338e-90,3.30642769650341,0.385,0.049,9.10224908126339e-86
"SLCO2B1",5.6616240379889e-70,3.28327202413592,0.296,0.036,1.2856982027869e-65
"CXCL16",4.57370946494575e-171,3.27386904646134,0.681,0.09,1.03864368239453e-166
"PDK4",1.97713886586495e-105,3.26968316266883,0.405,0.043,4.48988465049271e-101
"PLXNB2",2.27029283949174e-117,3.23936861265194,0.526,0.077,5.15560800920178e-113
"SLC2A6",5.11095214622747e-70,3.23351304303359,0.355,0.058,1.1606461228868e-65
"ARHGEF11",1.86289699898969e-63,3.22973715197983,0.263,0.03,4.23045279500569e-59
"SLC15A3",3.98681410048648e-97,3.20517953076296,0.434,0.06,9.05365614079474e-93
"LPCAT2",8.26272866420298e-99,3.18723989925695,0.418,0.052,1.87638305235385e-94
"LILRB4",2.98655363748781e-83,3.17307612095531,0.382,0.054,6.78216465537108e-79
"TIMP2",3.87835617585082e-142,3.15011050952961,0.635,0.101,8.80735903973963e-138
"CYBB",9.72006175042036e-235,3.12179740705056,0.954,0.171,2.20732882290296e-230
"IL1B",7.23161371380913e-49,3.11784160482923,0.263,0.044,1.64222715826892e-44
"LACC1",3.33696974787646e-55,3.1169001126829,0.257,0.035,7.57792460045265e-51
"SPRED1",8.52647456904132e-65,3.08748232016906,0.289,0.037,1.93627710988359e-60
"C3AR1",1.76562641339779e-125,3.07670270194696,0.582,0.093,4.00956102218505e-121
"CPVL",4.00646330435377e-98,3.06153176165614,0.441,0.06,9.09827751785697e-94
"LTBR",2.44084468109083e-69,3.02367041645947,0.349,0.054,5.54291418628917e-65
"LHFPL2",1.63370079896485e-49,3.00681661158847,0.25,0.038,3.70997114436929e-45
"SLC43A2",2.37877210423673e-88,2.98521524665717,0.421,0.062,5.40195357151119e-84
"TGFBI",8.18711937063064e-136,2.98194401929797,0.625,0.095,1.85921293787651e-131
"MPEG1",1.81523757254801e-152,2.97910624703128,0.678,0.102,4.12222300349928e-148
"NLN",8.61405912976183e-51,2.97848830737569,0.25,0.036,1.95616668777761e-46
"DRAM1",3.77482676757547e-57,2.96794280110033,0.289,0.044,8.57225410648713e-53
"TTYH3",2.0257827219739e-128,2.96140878822572,0.641,0.12,4.60034998333053e-124
"JDP2",4.3336529627159e-44,2.95769982334136,0.25,0.044,9.84129251303154e-40
"RGL1",4.61377475136232e-56,2.94931857380665,0.293,0.047,1.04774210828687e-51
"LYZ",1.61568975206525e-169,2.93545607058505,0.766,0.122,3.66906985796498e-165
"BLVRB",2.63931608873047e-70,2.9098790328022,0.395,0.073,5.99362290589802e-66
"ALDH3B1",2.89736828595193e-80,2.90675185917839,0.385,0.056,6.57963364056823e-76
"RP11-1143G9.4",3.25432474744609e-76,2.88936686529352,0.365,0.052,7.39024606897532e-72
"CHST15",1.01662913144807e-62,2.88804958405539,0.359,0.065,2.30866309460543e-58
"FCGR2A",3.0270971879819e-91,2.88679788260595,0.431,0.062,6.87423500418809e-87
"LGMN",1.74955385344182e-53,2.88653279517509,0.345,0.073,3.97306184578104e-49
"HNMT",1.20000684603602e-69,2.87862724029311,0.355,0.056,2.72509554666319e-65
"MARCKS",1.02476984833364e-177,2.87507037919019,0.852,0.179,2.32714984858086e-173
