"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Colec12",1.23258091633945e-113,7.21244251018978,0.795,0.036,3.15984443712783e-109
"Gabrb3",5.74744967245176e-27,3.68969726307427,0.322,0.046,1.47341619802973e-22
"Stam2",2.48324122867419e-21,3.11202476971486,0.27,0.039,6.36603721382916e-17
"Mdk",1.08956439315216e-15,3.03204798442145,0.181,0.017,2.79320727828489e-11
"Gm3336",1.71735348502147e-15,5.77143838754237,0.147,0.002,4.40260739420104e-11
"Rnaset2a",1.13107617282673e-14,1.47746490223845,0.32,0.106,2.8996268766586e-10
"Pcdh7",1.27407037090154e-13,2.68125045647869,0.209,0.043,3.2662068028432e-09
"Cacna1a",1.60515742924072e-12,4.28340794549276,0.158,0.022,4.11498158560151e-08
"Rims2",3.52182959107082e-12,2.71447403502601,0.156,0.022,9.02856233966915e-08
"H2-Ea",5.18895785774785e-12,9.61698677553604,0.108,0,1.33024123641224e-07
"Bbs9",7.49082222495886e-12,1.20488965018324,0.264,0.087,1.92034718559045e-07
"A630089N07Rik",1.51438834563686e-11,2.65348745472032,0.168,0.031,3.88228596287465e-07
"Ftl1",2.12737324607172e-11,0.827103339583616,0.648,0.487,5.45373405362947e-07
"Fmn1",3.05908010106392e-11,1.39091677163436,0.367,0.19,7.84225774708745e-07
"Angptl7",5.1361497212115e-11,5.83775845603669,0.104,0.002,1.31670334252978e-06
"Pde1a",3.29442402610153e-10,1.56423600002349,0.309,0.145,8.44558543331388e-06
"Rab11fip3",5.99464203472894e-10,0.981622643021039,0.49,0.316,1.53678643202311e-05
"Klrk1",6.26048549018144e-10,1.2012774385133,0.117,0.012,1.60493806026291e-05
"Col8a1",8.31417044185054e-10,2.45078630437515,0.138,0.024,2.1314207344728e-05
"Acmsd",9.81326597505341e-10,1.79861401694363,0.244,0.096,2.51572886536469e-05
"Keg1",2.10649121478823e-09,1.0807824983706,0.447,0.296,5.4002008782311e-05
"Slc6a19",5.14684000292384e-09,1.38602530823503,0.311,0.154,0.000131944390314956
"Invs",5.37161956421093e-09,1.71159982386624,0.175,0.051,0.000137706839148112
"Prss48",6.17903239858016e-09,5.79691646497396,0.084,0.002,0.000158405674570001
"Ang4",8.9759446029169e-09,8.32946367246515,0.076,0,0.000230107315840378
"Mt2",1.29294398427069e-08,1.1533186360008,0.149,0.036,0.000331459119807634
"Magi2",2.81372981857606e-08,1.0191636886968,0.51,0.369,0.000721327776290158
"Rdh16f2",3.65276183780936e-08,1.12989906229852,0.335,0.188,0.000936422024740808
"Dab2",5.64648575725738e-08,0.724421564047375,0.568,0.431,0.0014475330887305
"Amn",1.18841137993232e-07,1.59206009379983,0.22,0.094,0.00304661141359449
"Slc13a1",1.19388167655201e-07,0.79379201885402,0.417,0.251,0.00306063506600873
"Aspdh",1.33652459942857e-07,1.07040102126025,0.292,0.154,0.00342631446309509
"Cyp4b1",1.6367659322325e-07,1.22085104214261,0.16,0.053,0.00419601314387123
"Bsg",3.16064587246116e-07,0.819155421212568,0.317,0.169,0.00810263175864144
"Pawr",3.69260518441625e-07,1.34310806316749,0.246,0.12,0.00946636265076951
"Mt1",3.74271255153056e-07,0.520922830459081,0.324,0.171,0.00959481789710375
"Fgf10",4.56902735151089e-07,4.18144294661688,0.076,0.007,0.0117131585183333
"Lrmda",4.59345250568931e-07,0.683074386564993,0.54,0.388,0.0117757748435851
"Gpx3",5.06580562741793e-07,0.571658621391668,0.803,0.747,0.0129866993064486
"Map7",6.70604965533891e-07,1.07921211985089,0.27,0.14,0.0171916288964268
"Ppp1r16b",8.05426590370769e-07,1.13655807228905,0.244,0.118,0.020647916070745
"Zfp949",8.74198385441783e-07,1.91621879116053,0.138,0.043,0.0224109498091855
"Pde4d",9.01837180153031e-07,0.482095239514358,0.637,0.499,0.0231194979504031
"Slc7a7",9.98712009949504e-07,0.965041417960258,0.294,0.161,0.0256029810870655
"Serpine3",1.0630019605853e-06,3.0804175320168,0.088,0.014,0.0272511182615647
"Rnls",1.14906643497181e-06,1.55844633448961,0.106,0.024,0.0294574671269372
"C130026I21Rik",1.14946190183598e-06,3.0989489599141,0.073,0.007,0.0294676053154671
"Tbxas1",1.19134554474772e-06,0.652413214998317,0.253,0.125,0.0305413343851525
"Dock9",1.21016306132255e-06,1.06073030365524,0.304,0.171,0.0310237402400649
"Mcmdc2",1.22442786187094e-06,2.42955360704528,0.061,0.002,0.0313894326669234
"Ccdc6",1.27962592856386e-06,0.986864806333622,0.186,0.077,0.0328044903046632
"Cltrn",1.33817198502726e-06,0.861773537109837,0.335,0.205,0.0343053770081589
"Tmem150a",1.49507429350181e-06,1.28319517906743,0.253,0.135,0.0383277245882124
"Gm30613",1.50798304673533e-06,3.65657585310849,0.076,0.01,0.0386586533861069
"Gm15614",1.54862033617889e-06,2.22911740697411,0.091,0.017,0.0397004309382821
"Gm37240",1.59831552801572e-06,1.05632784898745,0.214,0.096,0.040974416876211
"Myo6",1.69675574960731e-06,0.890247424346168,0.376,0.241,0.043498030396933
"Chn2",1.99331802176554e-06,1.3637852997887,0.171,0.067,0.0511007008059814
"1700016C15Rik",2.06307535422285e-06,1.82395098265722,0.119,0.034,0.0528889997808571
"Fut8",2.28226367358831e-06,0.945677163742156,0.307,0.178,0.05850811153611
"D630023F18Rik",2.30464478764101e-06,1.70273599150341,0.173,0.072,0.0590818737759648
"Ttc8",2.34336874860016e-06,1.76287541895391,0.11,0.029,0.0600746012391138
"Wwox",2.7306563555527e-06,0.596693018721573,0.419,0.272,0.0700031063309489
"Hsd3b2",3.50001113545868e-06,1.31096515990277,0.22,0.108,0.0897262854686187
"Snap91",3.64564067338075e-06,6.87947760561654,0.05,0,0.093459644302789
"H2-M2",3.64564067338075e-06,9.15949866277308,0.05,0,0.093459644302789
"Gm12166",4.39247865397008e-06,3.66751706570746,0.061,0.005,0.112605582773177
"Rnase4",4.72493915610493e-06,1.00991371435074,0.121,0.036,0.121128540205906
"Galnt14",5.32279244462689e-06,1.0216918996641,0.287,0.166,0.136455107110455
"Cacna2d2",5.58183269516903e-06,7.48781374709501,0.048,0,0.143095862973353
"Frmd4b",5.99343671493783e-06,0.555335363184495,0.575,0.436,0.153647743624146
"Gm16193",6.40228711334861e-06,3.55097186614512,0.06,0.005,0.164129032437805
"P3h2",6.42421065041306e-06,0.672962592960991,0.428,0.301,0.164691064233989
"Rnf121",6.74439047608849e-06,2.11146638310679,0.108,0.031,0.172899194245004
"Slc22a23",7.18712409886305e-06,0.938752873718234,0.307,0.188,0.184249113398453
"Prr5l",8.33908928855152e-06,2.04579080018977,0.091,0.022,0.213780893001307
"Lst1",8.6493559142313e-06,1.20198314070836,0.227,0.116,0.221734888217234
"Dpp7",9.0560926885347e-06,1.84933954957162,0.119,0.039,0.232161992163276
"Slamf8",9.14825521746732e-06,2.20154120375676,0.078,0.014,0.234524670754992
"Glo1",9.52313788895786e-06,1.71950026287429,0.127,0.043,0.244135162921324
"Fgf1",1.05978504510028e-05,1.42456013107433,0.21,0.106,0.271686494161908
"Zfp697",1.079527532635e-05,1.36004551844389,0.164,0.07,0.276747678266308
"Cndp1",1.09684729617896e-05,1.77832565442482,0.121,0.041,0.281187772848438
"Nox4",1.14302083126511e-05,0.749281775336857,0.471,0.354,0.293024820303123
"Ankib1",1.2031497340967e-05,1.00290106363223,0.22,0.108,0.308439465833029
"Tsen2",1.29502537028213e-05,1.91089853187473,0.076,0.014,0.331992703925527
"Ttc39d",1.30770703068287e-05,7.69173314870911,0.045,0,0.335243774385861
"Pter",1.39956150476557e-05,0.75699207804331,0.367,0.246,0.358791587361703
"Zzz3",1.47325185866667e-05,1.03675868574569,0.196,0.094,0.377682846487787
"Ccdc148",1.54140317441707e-05,1.6974111809624,0.134,0.051,0.39515411779356
"Farp1",1.56080441636373e-05,0.890512804113476,0.268,0.154,0.400127820179006
"Plcb1",1.72731796673948e-05,0.539692182556415,0.529,0.402,0.442815233953333
"Ptprk",1.72998464694949e-05,0.605126721042356,0.466,0.34,0.443498864091972
"Col27a1",1.76355705390133e-05,1.10829209504693,0.285,0.176,0.452105486338145
"Slc47a1",1.9766064014296e-05,0.643738600098713,0.419,0.296,0.506722817070493
"Dao",1.97763524462315e-05,0.972781019243924,0.294,0.181,0.50698657131159
"Fhit",2.00096635421068e-05,0.708545713396382,0.466,0.342,0.51296773456545
"Pex6",2.13859113833378e-05,1.38229611156115,0.14,0.055,0.548249224223248
"Rab3gap1",2.20043869109641e-05,1.79403952177879,0.128,0.048,0.564104462849476
"B3gat2",2.20550720179097e-05,1.14301688866827,0.212,0.111,0.565403826251132
"Plekha6",2.49325879529233e-05,1.02124669055974,0.233,0.128,0.639171824761142
"Sall1",2.66959530590461e-05,1.26678821190337,0.106,0.034,0.684377452621707
"Uap1l1",3.13974438605721e-05,1.78294650606975,0.073,0.014,0.804904870809625
